"Date","Price","Open","High","Low","Change %"
"Jul 11, 2021","34,222.4","33,521.7","34,569.3","33,325.0","2.09%"
"Jul 10, 2021","33,521.7","33,807.9","34,225.9","33,050.0","-0.85%"
"Jul 09, 2021","33,807.9","32,997.6","34,083.6","32,623.0","3.57%"
"Jul 08, 2021","32,643.4","33,796.3","33,929.5","32,118.6","-3.41%"
"Jul 07, 2021","33,796.3","34,239.4","35,045.6","33,796.3","-1.02%"
"Jul 06, 2021","34,144.7","33,720.4","34,800.0","33,720.4","1.25%"
"Jul 05, 2021","33,722.7","35,313.0","35,313.0","33,609.1","-4.50%"
"Jul 04, 2021","35,313.0","35,523.6","35,787.5","35,313.0","1.67%"
"Jul 03, 2021","34,732.8","33,806.9","34,732.8","33,556.8","2.74%"
"Jul 02, 2021","33,806.9","33,512.9","33,806.9","32,851.4","0.88%"
"Jul 01, 2021","33,512.9","35,028.1","35,028.1","33,180.8","-4.33%"
"Jun 30, 2021","35,028.1","35,928.9","35,928.9","34,294.8","-2.51%"
"Jun 29, 2021","35,928.9","34,502.8","36,417.0","34,498.8","4.25%"
"Jun 28, 2021","34,463.9","34,653.2","34,712.5","34,115.2","-0.55%"
"Jun 27, 2021","34,653.2","32,225.7","34,653.2","32,225.7","7.53%"
"Jun 26, 2021","32,225.7","31,565.3","32,225.7","30,992.4","2.09%"
"Jun 25, 2021","31,565.3","34,667.2","34,667.2","31,565.3","-8.95%"
"Jun 24, 2021","34,667.2","33,666.6","34,772.5","32,512.6","2.97%"
"Jun 23, 2021","33,666.6","32,454.3","34,464.2","32,454.3","3.74%"
"Jun 22, 2021","32,454.3","31,623.9","32,814.4","29,850.0","2.63%"
"Jun 21, 2021","31,623.9","35,615.1","35,615.1","31,623.9","-11.21%"
"Jun 20, 2021","35,615.1","35,523.7","35,730.6","33,368.7","0.26%"
"Jun 19, 2021","35,523.7","35,792.5","36,220.5","35,424.5","-0.75%"
"Jun 18, 2021","35,792.5","38,049.4","38,049.4","35,175.0","-5.93%"
"Jun 17, 2021","38,049.4","38,327.3","39,358.8","37,683.7","-0.73%"
"Jun 16, 2021","38,327.3","40,149.0","40,178.4","38,327.3","-4.54%"
"Jun 15, 2021","40,149.0","40,501.5","40,501.5","39,797.2","-0.87%"
"Jun 14, 2021","40,501.5","39,019.0","40,730.3","38,914.1","3.80%"
"Jun 13, 2021","39,019.0","35,523.2","39,106.4","35,011.9","9.84%"
"Jun 12, 2021","35,523.2","37,311.8","37,311.8","35,409.8","-4.79%"
"Jun 11, 2021","37,311.8","36,609.7","37,311.8","36,176.5","1.92%"
"Jun 10, 2021","36,609.7","37,353.1","38,198.0","36,221.5","-1.99%"
"Jun 09, 2021","37,353.1","33,355.3","37,353.1","32,609.0","11.99%"
"Jun 08, 2021","33,355.3","33,575.2","33,638.2","32,159.3","-0.66%"
"Jun 07, 2021","33,575.5","35,802.8","36,637.9","33,575.5","-6.22%"
"Jun 06, 2021","35,802.8","35,529.4","36,226.1","35,529.4","0.77%"
"Jun 05, 2021","35,529.4","36,844.7","37,784.8","34,954.3","-3.57%"
"Jun 04, 2021","36,844.7","39,225.9","39,225.9","36,623.8","-6.07%"
"Jun 03, 2021","39,225.9","37,569.6","39,225.9","37,551.1","4.41%"
"Jun 02, 2021","37,569.6","36,682.9","37,967.7","36,241.5","2.42%"
"Jun 01, 2021","36,682.9","37,278.4","37,296.2","35,822.7","-1.60%"
"May 31, 2021","37,278.4","35,644.3","37,278.4","34,221.7","4.58%"
"May 30, 2021","35,644.3","34,575.9","36,213.6","34,474.1","3.09%"
"May 29, 2021","34,575.9","35,673.8","36,908.9","34,038.7","-3.08%"
"May 28, 2021","35,673.8","38,473.7","38,473.7","35,387.5","-7.28%"
"May 27, 2021","38,473.7","39,173.1","39,986.6","37,250.0","-1.79%"
"May 26, 2021","39,173.1","38,373.7","40,370.2","38,000.5","2.08%"
"May 25, 2021","38,373.7","38,765.7","39,200.0","37,317.0","-1.01%"
"May 24, 2021","38,765.7","34,671.9","38,765.7","34,671.9","11.81%"
"May 23, 2021","34,671.9","37,498.8","37,979.6","32,552.9","-7.54%"
"May 22, 2021","37,498.8","37,245.7","38,247.4","36,199.4","0.70%"
"May 21, 2021","37,239.0","40,497.7","41,268.0","36,380.9","-8.05%"
"May 20, 2021","40,497.7","36,699.0","41,612.7","35,537.3","10.48%"
"May 19, 2021","36,655.3","42,865.8","42,865.8","36,655.3","-14.49%"
"May 18, 2021","42,865.8","43,532.2","45,437.6","42,865.8","-1.53%"
"May 17, 2021","43,532.2","46,409.8","46,409.8","42,953.1","-6.20%"
"May 16, 2021","46,409.8","46,691.8","49,327.2","45,146.4","-0.60%"
"May 15, 2021","46,691.8","49,844.5","49,844.5","46,691.8","-6.33%"
"May 14, 2021","49,844.5","49,635.4","51,368.5","49,462.9","0.42%"
"May 13, 2021","49,635.4","49,809.6","51,139.3","48,200.0","-0.35%"
"May 12, 2021","49,809.6","56,691.9","57,814.7","49,809.6","-12.14%"
"May 11, 2021","56,691.9","55,791.7","56,691.9","54,999.2","1.61%"
"May 10, 2021","55,791.7","58,231.6","58,959.7","55,452.8","-4.19%"
"May 09, 2021","58,231.6","58,834.3","59,043.6","57,341.1","-1.02%"
"May 08, 2021","58,834.3","57,355.7","59,024.8","57,355.7","2.58%"
"May 07, 2021","57,355.7","56,378.6","58,177.0","55,595.3","1.73%"
"May 06, 2021","56,378.6","57,427.1","57,600.0","55,400.0","-1.83%"
"May 05, 2021","57,427.1","53,036.3","57,427.1","53,036.3","7.70%"
"May 04, 2021","53,319.4","57,148.0","57,148.0","53,319.4","-6.70%"
"May 03, 2021","57,148.0","56,607.3","58,448.5","56,607.3","0.96%"
"May 02, 2021","56,607.3","57,795.1","57,795.1","56,315.6","-2.06%"
"May 01, 2021","57,795.1","57,724.1","58,153.2","57,262.9","0.12%"
"Apr 30, 2021","57,724.1","53,541.4","57,724.1","53,478.8","7.81%"
"Apr 29, 2021","53,541.4","54,752.2","54,862.6","52,924.0","-2.21%"
"Apr 28, 2021","54,752.2","55,009.7","55,590.8","54,351.4","-0.47%"
"Apr 27, 2021","55,009.7","53,993.9","55,171.5","53,433.5","1.88%"
"Apr 26, 2021","53,993.9","48,980.7","54,192.2","48,980.7","10.24%"
"Apr 25, 2021","48,980.7","50,094.4","50,248.1","48,615.2","-2.22%"
"Apr 24, 2021","50,094.4","51,086.1","51,086.1","49,424.8","-1.94%"
"Apr 23, 2021","51,086.1","51,713.8","51,713.8","47,900.3","-1.21%"
"Apr 22, 2021","51,713.8","53,767.8","55,011.5","51,695.2","-3.82%"
"Apr 21, 2021","53,767.8","56,372.2","56,372.2","53,767.8","-4.62%"
"Apr 20, 2021","56,371.4","55,609.4","56,891.2","53,962.7","1.37%"
"Apr 19, 2021","55,609.4","56,182.4","57,094.9","55,491.1","-1.02%"
"Apr 18, 2021","56,182.4","60,005.6","60,005.6","54,557.5","-6.44%"
"Apr 17, 2021","60,049.2","61,359.4","62,315.9","60,049.2","-2.14%"
"Apr 16, 2021","61,359.4","63,197.7","63,356.8","60,328.2","-2.91%"
"Apr 15, 2021","63,197.7","62,964.4","63,472.6","62,500.0","0.37%"
"Apr 14, 2021","62,964.4","63,517.7","64,477.9","62,142.6","-0.87%"
"Apr 13, 2021","63,517.7","59,871.9","63,517.7","59,871.9","6.09%"
"Apr 12, 2021","59,871.9","59,953.8","60,723.0","59,842.3","-0.14%"
"Apr 11, 2021","59,953.8","59,769.8","60,199.6","59,611.0","0.31%"
"Apr 10, 2021","59,769.8","58,135.5","60,916.4","58,135.5","2.81%"
"Apr 09, 2021","58,135.5","58,050.0","58,545.7","57,963.6","0.15%"
"Apr 08, 2021","58,050.0","55,911.6","58,050.0","55,911.6","3.82%"
"Apr 07, 2021","55,911.6","57,979.6","57,979.6","55,813.0","-3.57%"
"Apr 06, 2021","57,979.6","59,100.0","59,149.7","57,778.3","-1.88%"
"Apr 05, 2021","59,089.7","58,182.0","59,089.7","56,998.6","1.56%"
"Apr 04, 2021","58,182.0","57,031.9","58,232.4","57,031.9","2.02%"
"Apr 03, 2021","57,031.9","58,960.8","59,650.0","57,031.9","-3.27%"
"Apr 02, 2021","58,960.8","58,750.0","59,683.1","58,731.9","0.36%"
"Apr 01, 2021","58,750.0","58,772.4","59,224.5","58,644.8","-0.04%"
"Mar 31, 2021","58,772.4","58,798.2","59,499.0","57,886.8","-0.04%"
"Mar 30, 2021","58,798.2","57,655.4","59,120.6","57,260.8","1.98%"
"Mar 29, 2021","57,655.4","55,768.2","58,131.1","55,173.1","3.38%"
"Mar 28, 2021","55,768.2","55,813.7","56,257.9","55,000.0","-0.08%"
"Mar 27, 2021","55,813.7","55,043.9","56,366.4","54,023.8","1.48%"
"Mar 26, 2021","54,997.1","51,344.3","54,997.1","51,344.3","7.11%"
"Mar 25, 2021","51,344.3","52,317.7","52,950.9","50,665.9","-1.88%"
"Mar 24, 2021","52,328.1","54,362.3","56,845.3","52,328.1","-3.74%"
"Mar 23, 2021","54,362.3","54,119.7","55,697.9","53,623.3","0.44%"
"Mar 22, 2021","54,125.5","57,394.8","58,070.0","54,125.5","-5.70%"
"Mar 21, 2021","57,399.9","58,104.4","58,460.1","55,919.9","-1.21%"
"Mar 20, 2021","58,104.4","58,087.3","59,264.9","58,087.3","0.03%"
"Mar 19, 2021","58,087.3","57,655.4","59,123.1","56,982.3","0.75%"
"Mar 18, 2021","57,655.4","58,800.0","59,043.5","57,655.4","-1.95%"
"Mar 17, 2021","58,800.0","56,877.0","58,800.0","54,917.1","3.38%"
"Mar 16, 2021","56,877.0","55,664.7","56,877.0","54,350.0","2.18%"
"Mar 15, 2021","55,664.7","59,023.9","60,103.3","55,664.7","-5.71%"
"Mar 14, 2021","59,034.7","61,176.0","61,204.3","59,034.7","-3.50%"
"Mar 13, 2021","61,176.0","57,338.5","61,176.0","56,526.2","6.69%"
